Temporada,Rank,Equip,Nacionalitat,Jugador,Gols,PJ,Gpp,Asist,App,Pen,Pen %,FD,FD %,Az,Azpp,Rj,Rjpp
16/17,5,ALCB,ES,"PEREZ GONZALEZ, GONZALO",27,30,0.90,3,0.10,8/14,57.14,4/18,22.22,4,0.13,,
16/17,6,IGU,PT,"GARCIA SOLAR, PAULO EMANUEL",27,30,0.90,7,0.23,2/4,50.00,7/19,36.84,4,0.13,,
16/17,7,CLD,ES,"ROVIRA GAYARRE, XAVIER",26,30,0.87,2,0.07,1/1,100.00,9/32,28.13,,,,
16/17,8,VOL,ES,"ALABART GONZALEZ, IGNACIO",26,30,0.87,5,0.17,,,6/17,35.29,,,,
16/17,9,LLO,ES,"GRAU TALLADA, MARC",25,29,0.86,3,0.10,3/5,60.00,2/11,18.18,6,0.21,,
16/17,10,LLE,ES,"GIMENEZ FERNANDEZ, DARIO JAVIER",25,30,0.83,8,0.27,2/2,100.00,11/22,50.00,4,0.13,,
16/17,11,VIC,ES,"RODRÍGUEZ MARIMÓN, CRISTIAN",25,30,0.83,2,0.07,5/11,45.45,0/2,0.00,1,0.03,,
16/17,12,REU,ES,"TORRA SAYO, MARC",25,30,0.83,3,0.10,2/6,33.33,1/6,16.67,2,0.07,,
16/17,13,VEN,ES,"MITJANS COLS, ELOI",24,30,0.80,5,0.17,7/15,46.67,0/2,0.00,,,,
16/17,14,LIC,ES,"COY GRAU, MARC",24,29,0.83,5,0.17,6/11,54.55,0/2,0.00,4,0.14,,
16/17,15,ALCY,ES,"GELMÀ PAZ, DAVID",23,30,0.77,1,0.03,6/11,54.55,0/2,0.00,5,0.17,,
16/17,16,VOL,ES,"TEIXIDO ABAT, GERARD",23,30,0.77,1,0.03,6/15,40.00,1/10,10.00,1,0.03,,
16/17,17,MAN,ES,"PRAT BLANCH, MARC",22,29,0.76,,,2/6,33.33,4/14,28.57,5,0.17,,
16/17,18,VIC,ES,"BURGAYA VILARÓ, JORDI",22,28,0.79,8,0.29,,,0/4,0.00,,,,
16/17,19,FCB,ES,"BARGALLÓ  POCH , PAU",22,29,0.76,8,0.28,2/3,66.67,5/9,55.56,3,0.10,,
16/17,20,FCB,AR,"ORDÓÑEZ VILLAVICENCIO, LUCAS",22,28,0.79,1,0.04,3/7,42.86,3/11,27.27,,,,
16/17,21,LLE,ES,"TOMÀS TOHÀ, ANDREU",22,30,0.73,4,0.13,4/8,50.00,0/1,0.00,3,0.10,,
